Match_id,season,city,date,team1,team2,toss_win,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_the_match,venue,match_refree,reserve_umpire,tv_umpire,umpire1,umpire2
40,2017,Kolkata,2017-05-03,Kolkata Knight Riders,Rising Pune Supergiant,Rising Pune Supergiant,field,normal,0,Rising Pune Supergiant,0,4,RA Tripathi,Eden Gardens,J Srinath,Navdeep Singh,S Ravi,KN Ananthapadmanabhan,A Nand Kishore
41,2017,Delhi,2017-05-04,Delhi Daredevils,Gujarat Lions,Delhi Daredevils,field,normal,0,Delhi Daredevils,0,7,RR Pant,Feroz Shah Kotla,M Nayyar,K Srinivasan,CK Nandan,M Erasmus,Nitin Menon
42,2017,Bangalore,2017-05-05,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,field,normal,0,Kings XI Punjab,19,0,Sandeep Sharma,M Chinnaswamy Stadium,V Narayan Kutty,N Pandit,AY Dandekar,CB Gaffaney,C Shamshuddin
43,2017,Hyderabad,2017-05-06,Sunrisers Hyderabad,Rising Pune Supergiant,Sunrisers Hyderabad,field,normal,0,Rising Pune Supergiant,12,0,JD Unadkat,"Rajiv Gandhi International Stadium, Uppal",Chinmay Sharma,R Pandit,M Erasmus,KN Ananthapadmanabhan,AK Chaudhary
44,2017,Delhi,2017-05-06,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,field,normal,0,Mumbai Indians,146,0,LMP Simmons,Feroz Shah Kotla,M Nayyar,K Srinivasan,YC Barde,Nitin Menon,CK Nandan
45,2017,Bangalore,2017-05-07,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,6,SP Narine,M Chinnaswamy Stadium,AJ Pycroft,N Pandit,CB Gaffaney,AY Dandekar,C Shamshuddin
46,2017,Chandigarh,2017-05-07,Kings XI Punjab,Gujarat Lions,Gujarat Lions,field,normal,0,Gujarat Lions,0,6,DR Smith,"Punjab Cricket Association IS Bindra Stadium, Mohali",J Srinath,Navdeep Singh,S Ravi,A Nand Kishore,VK Sharma
47,2017,Hyderabad,2017-05-08,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,bat,normal,0,Sunrisers Hyderabad,0,7,S Dhawan,"Rajiv Gandhi International Stadium, Uppal",Chinmay Sharma,R Pandit,AK Chaudhary,KN Ananthapadmanabhan,M Erasmus
48,2017,Chandigarh,2017-05-09,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kings XI Punjab,14,0,MM Sharma,"Punjab Cricket Association IS Bindra Stadium, Mohali",J Srinath,Navdeep Singh,VK Sharma,A Nand Kishore,S Ravi
49,2017,Kanpur,2017-05-10,Gujarat Lions,Delhi Daredevils,Delhi Daredevils,field,normal,0,Delhi Daredevils,0,2,SS Iyer,Green Park,V Narayan Kutty,K Srinivasan,Nitin Menon,YC Barde,AK Chaudhary
50,2017,Mumbai,2017-05-11,Mumbai Indians,Kings XI Punjab,Mumbai Indians,field,normal,0,Kings XI Punjab,7,0,WP Saha,Wankhede Stadium,M Nayyar,N Pandit,VK Sharma,A Deshmukh,A Nand Kishore
51,2017,Delhi,2017-05-12,Delhi Daredevils,Rising Pune Supergiant,Delhi Daredevils,bat,normal,0,Delhi Daredevils,7,0,KK Nair,Feroz Shah Kotla,AJ Pycroft,R Pandit,C Shamshuddin,KN Ananthapadmanabhan,CK Nandan
52,2017,Kanpur,2017-05-13,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Sunrisers Hyderabad,0,8,Mohammed Siraj,Green Park,Chinmay Sharma,K Srinivasan,YC Barde,AK Chaudhary,Nitin Menon
